week,store_id,location,flavor,weather,holiday,social_media_mentions,sales
1,001,Utah,Chocolate Chip,Cloudy,Yes,169,674
1,001,Utah,Pink Sugar,Sunny,No,287,751
1,001,Utah,Oreo,Sunny,No,126,444
1,001,Utah,Peanut Butter,Rainy,Yes,84,443
1,001,Utah,Lemon Glaze,Sunny,No,217,403
1,002,Texas,Chocolate Chip,Cloudy,Yes,244,259
1,002,Texas,Pink Sugar,Rainy,No,279,383
1,002,Texas,Oreo,Rainy,Yes,211,318
1,002,Texas,Peanut Butter,Sunny,Yes,158,604
1,002,Texas,Lemon Glaze,Sunny,No,284,209
1,003,California,Chocolate Chip,Cloudy,Yes,263,454
1,003,California,Pink Sugar,Cloudy,Yes,283,587
1,003,California,Oreo,Rainy,Yes,79,969
1,003,California,Peanut Butter,Cloudy,No,187,906
1,003,California,Lemon Glaze,Cloudy,No,67,604
2,001,Utah,Chocolate Chip,Sunny,Yes,55,539
2,001,Utah,Pink Sugar,Cloudy,Yes,98,749
2,001,Utah,Oreo,Cloudy,No,289,293
2,001,Utah,Peanut Butter,Rainy,Yes,193,293
2,001,Utah,Lemon Glaze,Rainy,No,124,700
2,002,Texas,Chocolate Chip,Rainy,No,285,949
2,002,Texas,Pink Sugar,Cloudy,Yes,287,666
2,002,Texas,Oreo,Cloudy,No,286,550
2,002,Texas,Peanut Butter,Cloudy,Yes,66,286
2,002,Texas,Lemon Glaze,Cloudy,Yes,58,484
2,003,California,Chocolate Chip,Cloudy,Yes,232,653
2,003,California,Pink Sugar,Cloudy,Yes,249,242
2,003,California,Oreo,Sunny,No,248,954
2,003,California,Peanut Butter,Rainy,No,244,884
2,003,California,Lemon Glaze,Rainy,Yes,279,288
3,001,Utah,Chocolate Chip,Sunny,Yes,256,318
3,001,Utah,Pink Sugar,Rainy,Yes,193,881
3,001,Utah,Oreo,Rainy,No,298,881
3,001,Utah,Peanut Butter,Sunny,No,84,768
3,001,Utah,Lemon Glaze,Cloudy,No,273,271
3,002,Texas,Chocolate Chip,Sunny,Yes,208,701
3,002,Texas,Pink Sugar,Rainy,No,96,753
3,002,Texas,Oreo,Sunny,No,141,945
3,002,Texas,Peanut Butter,Cloudy,Yes,123,853
